cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool57-S1-B	6.907939279125544e-114	1.0	1.2883665859064897e-268	1.2883665859064897e-268	1.2883665859064897e-268	1.2883665859064897e-268	1.2883665859064897e-268	1.2883665859064897e-268	1.2883665859064897e-268	1.2883665859064897e-268
Lnuclei-pool57-S1-C	9.184675578148691e-173	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool57-S1-D	1.0	4.0844200177135725e-242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool58-S1-A	5.0413679010493635e-197	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool58-S1-B	9.615053056423628e-129	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool58-S1-C	1.8275378541217184e-204	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool58-S1-D	4.1599563838224e-135	1.0	2.1028943847845764e-299	2.1028943847845764e-299	2.1028943847845764e-299	2.1028943847845764e-299	2.1028943847845764e-299	2.1028943847845764e-299	2.1028943847845764e-299	2.1028943847845764e-299
Lnuclei-pool59-S1-A	1.0	2.5386950132903724e-269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool59-S1-B	1.0	1.8104920404201317e-186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool59-S1-C	2.3931002869416094e-187	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool59-S1-D	1.0	2.83064383183657e-87	1.1137438067449455e-303	1.1137438067449455e-303	1.1137438067449455e-303	1.1137438067449455e-303	1.1137438067449455e-303	1.1137438067449455e-303	1.1137438067449455e-303	1.1137438067449455e-303
Lnuclei-pool60-S1-A	6.871445981071613e-192	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool60-S1-B	1.0	5.751561597993989e-100	1.8715902429247293e-238	1.8715902429247293e-238	1.8715902429247293e-238	1.8715902429247293e-238	1.8715902429247293e-238	1.8715902429247293e-238	1.8715902429247293e-238	1.8715902429247293e-238
