converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	524692.223526696	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/122/cluster_posteriors.tsv.gz	21	158	9	NA	NA	NA	NA	NA	NA	NA
1	508986.186098087	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/123/cluster_posteriors.tsv.gz	10	154	4	NA	NA	NA	NA	NA	NA	NA
1	522218.65247775	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/124/cluster_posteriors.tsv.gz	19	158	8	NA	NA	NA	NA	NA	NA	NA
1	516290.636301126	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/125/cluster_posteriors.tsv.gz	14	155	6	NA	NA	NA	NA	NA	NA	NA
1	506877.776406929	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/126/cluster_posteriors.tsv.gz	10	154	3	NA	NA	NA	NA	NA	NA	NA
1	521558.613329523	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/127/cluster_posteriors.tsv.gz	23	158	8	NA	NA	NA	NA	NA	NA	NA
1	511926.137359434	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/128/cluster_posteriors.tsv.gz	10	156	5	NA	NA	NA	NA	NA	NA	NA
1	516918.37958971	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/129/cluster_posteriors.tsv.gz	15	157	6	NA	NA	NA	NA	NA	NA	NA
1	501751.609626973	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/13/cluster_posteriors.tsv.gz	67	160	3	NA	NA	NA	NA	NA	NA	NA
1	522742.841824729	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/130/cluster_posteriors.tsv.gz	24	158	8	NA	NA	NA	NA	NA	NA	NA
1	511624.242893466	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/131/cluster_posteriors.tsv.gz	10	155	5	NA	NA	NA	NA	NA	NA	NA
1	520446.109449415	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/132/cluster_posteriors.tsv.gz	20	158	8	NA	NA	NA	NA	NA	NA	NA
1	511339.394802718	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/133/cluster_posteriors.tsv.gz	10	155	5	NA	NA	NA	NA	NA	NA	NA
1	521934.708725136	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/134/cluster_posteriors.tsv.gz	20	158	8	NA	NA	NA	NA	NA	NA	NA
1	525908.402875078	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/135/cluster_posteriors.tsv.gz	22	158	9	NA	NA	NA	NA	NA	NA	NA
1	506405.438511211	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/136/cluster_posteriors.tsv.gz	6	156	3	NA	NA	NA	NA	NA	NA	NA
1	514003.8914198	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/137/cluster_posteriors.tsv.gz	12	155	6	NA	NA	NA	NA	NA	NA	NA
1	515115.238973546	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/138/cluster_posteriors.tsv.gz	15	156	6	NA	NA	NA	NA	NA	NA	NA
