converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	500978.975894594	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/123/cluster_posteriors.tsv.gz	470	295	6	NA	NA	NA	NA	NA	NA	0
1	497461.647283547	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/124/cluster_posteriors.tsv.gz	767	296	8	NA	NA	NA	NA	NA	NA	0
1	498409.021502361	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/125/cluster_posteriors.tsv.gz	728	296	8	NA	NA	NA	NA	NA	NA	0
1	498245.905317106	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/126/cluster_posteriors.tsv.gz	774	293	9	NA	NA	NA	NA	NA	NA	0
1	500363.807822215	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/127/cluster_posteriors.tsv.gz	434	295	6	NA	NA	NA	NA	NA	NA	0
1	499159.283970918	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/128/cluster_posteriors.tsv.gz	804	299	9	NA	NA	NA	NA	NA	NA	0
1	498764.721102736	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/129/cluster_posteriors.tsv.gz	686	298	8	NA	NA	NA	NA	NA	NA	0
1	500322.708102055	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/13/cluster_posteriors.tsv.gz	642	304	3	NA	NA	NA	NA	NA	NA	0
1	500027.255890488	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/130/cluster_posteriors.tsv.gz	335	294	4	NA	NA	NA	NA	NA	NA	0
1	507941.470656797	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/131/cluster_posteriors.tsv.gz	34	292	1	NA	NA	NA	NA	NA	NA	NA
1	499216.630678802	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/132/cluster_posteriors.tsv.gz	214	294	3	NA	NA	NA	NA	NA	NA	0
