x_elbow	y_elbow	gain_vector
1	266296.35813437	0
2	223124.156654793	0.162120885850767
3	219765.820810069	0.0150514220202527
4	216747.993860223	0.0137320122788963
5	215511.668298595	0.00570397695318825
6	214143.317752495	0.00634931072132968
7	214504.45997982	-0.00168645106984903
8	214578.197759528	-0.000343758725181073
9	214662.620375904	-0.000393435201046281
