cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool53-S1-D	1.0	1.1913254990246548e-68	6.109929422306463e-85	6.109929422306463e-85	6.109929422306463e-85	6.109929422306463e-85	6.109929422306463e-85	6.109929422306463e-85	6.109929422306463e-85	6.109929422306463e-85
Lnuclei-pool54-S1-A	3.7773558921064074e-128	1.0	1.9004847087693133e-169	1.9004847087693133e-169	1.9004847087693133e-169	1.9004847087693133e-169	1.9004847087693133e-169	1.9004847087693133e-169	1.9004847087693133e-169	1.9004847087693133e-169
Lnuclei-pool54-S1-B	1.0	3.0124233473393434e-200	2.7057118674875336e-232	2.7057118674875336e-232	2.7057118674875336e-232	2.7057118674875336e-232	2.7057118674875336e-232	2.7057118674875336e-232	2.7057118674875336e-232	2.7057118674875336e-232
Lnuclei-pool54-S1-C	1.0	2.2369334063724653e-175	6.348507230255263e-225	6.348507230255263e-225	6.348507230255263e-225	6.348507230255263e-225	6.348507230255263e-225	6.348507230255263e-225	6.348507230255263e-225	6.348507230255263e-225
Lnuclei-pool54-S1-D	5.394175103099416e-189	1.0	5.427441449402739e-217	5.427441449402739e-217	5.427441449402739e-217	5.427441449402739e-217	5.427441449402739e-217	5.427441449402739e-217	5.427441449402739e-217	5.427441449402739e-217
Lnuclei-pool55-S1-A	4.9557167625544e-181	1.0	8.690264802264105e-180	8.690264802264105e-180	8.690264802264105e-180	8.690264802264105e-180	8.690264802264105e-180	8.690264802264105e-180	8.690264802264105e-180	8.690264802264105e-180
Lnuclei-pool55-S1-B	1.0	6.493381583682759e-224	5.918313287039046e-259	5.918313287039046e-259	5.918313287039046e-259	5.918313287039046e-259	5.918313287039046e-259	5.918313287039046e-259	5.918313287039046e-259	5.918313287039046e-259
Lnuclei-pool55-S1-C	1.0	4.436408032017379e-204	2.1886184831653955e-255	2.1886184831653955e-255	2.1886184831653955e-255	2.1886184831653955e-255	2.1886184831653955e-255	2.1886184831653955e-255	2.1886184831653955e-255	2.1886184831653955e-255
Lnuclei-pool55-S1-D	1.287075488722869e-145	1.0	1.0851826593130514e-151	1.0851826593130514e-151	1.0851826593130514e-151	1.0851826593130514e-151	1.0851826593130514e-151	1.0851826593130514e-151	1.0851826593130514e-151	1.0851826593130514e-151
Lnuclei-pool56-S1-A	1.2886781624766771e-192	1.0	1.2484966906367502e-223	1.2484966906367502e-223	1.2484966906367502e-223	1.2484966906367502e-223	1.2484966906367502e-223	1.2484966906367502e-223	1.2484966906367502e-223	1.2484966906367502e-223
Lnuclei-pool56-S1-B	1.0	3.2536089345288086e-106	2.1850972223199213e-204	2.1850972223199213e-204	2.1850972223199213e-204	2.1850972223199213e-204	2.1850972223199213e-204	2.1850972223199213e-204	2.1850972223199213e-204	2.1850972223199213e-204
Lnuclei-pool56-S1-C	2.2877245638660199e-212	1.0	2.850248918972987e-259	2.850248918972987e-259	2.850248918972987e-259	2.850248918972987e-259	2.850248918972987e-259	2.850248918972987e-259	2.850248918972987e-259	2.850248918972987e-259
Lnuclei-pool56-S1-D	2.504609229487018e-169	1.0	8.659153691015548e-228	8.659153691015548e-228	8.659153691015548e-228	8.659153691015548e-228	8.659153691015548e-228	8.659153691015548e-228	8.659153691015548e-228	8.659153691015548e-228
Lnuclei-pool57-S1-A	6.064936936728888e-170	1.0	2.268496293982447e-205	2.268496293982447e-205	2.268496293982447e-205	2.268496293982447e-205	2.268496293982447e-205	2.268496293982447e-205	2.268496293982447e-205	2.268496293982447e-205
Lnuclei-pool57-S1-B	1.5419780181988297e-147	1.0	1.9620964595066897e-185	1.9620964595066897e-185	1.9620964595066897e-185	1.9620964595066897e-185	1.9620964595066897e-185	1.9620964595066897e-185	1.9620964595066897e-185	1.9620964595066897e-185
