x_elbow	y_elbow	gain_vector
1	205656.194180642	0
2	121450.157030263	0.409450527302935
3	101865.926931883	0.161253229944364
4	98249.2650822368	0.0355041372378113
5	96139.5205655516	0.0214733872555618
