cell_id	0	1	2	3	4	5	6	7	8	9
K562-pool35-A-TAGCTT	1.0	6.314943457136702e-114	3.433476589780934e-114	3.433476589780934e-114	3.433476589780934e-114	3.433476589780934e-114	3.433476589780934e-114	3.433476589780934e-114	3.433476589780934e-114	3.433476589780934e-114
K562-pool35-B-ACTTGA	1.0	7.757429021090405e-159	3.340922172675761e-158	3.340922172675761e-158	3.340922172675761e-158	3.340922172675761e-158	3.340922172675761e-158	3.340922172675761e-158	3.340922172675761e-158	3.340922172675761e-158
K562-pool35-C-GCCAAT	1.0	1.3393488527524638e-29	1.6901964308833247e-29	1.6901964308833247e-29	1.6901964308833247e-29	1.6901964308833247e-29	1.6901964308833247e-29	1.6901964308833247e-29	1.6901964308833247e-29	1.6901964308833247e-29
K562-pool35-D-CGATGT	1.0	2.6231039586946574e-76	9.562349505721927e-76	9.562349505721927e-76	9.562349505721927e-76	9.562349505721927e-76	9.562349505721927e-76	9.562349505721927e-76	9.562349505721927e-76	9.562349505721927e-76
K562-pool35-F-ATCACG	1.0	8.476514678799317e-122	8.807890002471612e-122	8.807890002471612e-122	8.807890002471612e-122	8.807890002471612e-122	8.807890002471612e-122	8.807890002471612e-122	8.807890002471612e-122	8.807890002471612e-122
K562-pool35-G-TGACCA	1.0	2.7006529790387794e-170	3.699117551311243e-170	3.699117551311243e-170	3.699117551311243e-170	3.699117551311243e-170	3.699117551311243e-170	3.699117551311243e-170	3.699117551311243e-170	3.699117551311243e-170
K562-pool35-H-CAGATC	1.0	1.3062777626303395e-192	6.950525535639619e-193	6.950525535639619e-193	6.950525535639619e-193	6.950525535639619e-193	6.950525535639619e-193	6.950525535639619e-193	6.950525535639619e-193	6.950525535639619e-193
K562-pool35-I-CTTGTA	1.0	5.061343938212139e-115	1.1829448001455938e-114	1.1829448001455938e-114	1.1829448001455938e-114	1.1829448001455938e-114	1.1829448001455938e-114	1.1829448001455938e-114	1.1829448001455938e-114	1.1829448001455938e-114
K562-pool36-A-TAGCTT	1.0	1.208243606612793e-51	9.522157147140957e-52	9.522157147140957e-52	9.522157147140957e-52	9.522157147140957e-52	9.522157147140957e-52	9.522157147140957e-52	9.522157147140957e-52	9.522157147140957e-52
K562-pool36-B-ACTTGA	1.0	2.168679203848755e-93	1.5130212590350092e-93	1.5130212590350092e-93	1.5130212590350092e-93	1.5130212590350092e-93	1.5130212590350092e-93	1.5130212590350092e-93	1.5130212590350092e-93	1.5130212590350092e-93
K562-pool36-C-GCCAAT	1.0	1.233867193948601e-105	9.699001368622881e-106	9.699001368622881e-106	9.699001368622881e-106	9.699001368622881e-106	9.699001368622881e-106	9.699001368622881e-106	9.699001368622881e-106	9.699001368622881e-106
K562-pool36-D-CGATGT	1.0	6.487511074205232e-47	5.472783669839499e-47	5.472783669839499e-47	5.472783669839499e-47	5.472783669839499e-47	5.472783669839499e-47	5.472783669839499e-47	5.472783669839499e-47	5.472783669839499e-47
K562-pool36-F-ATCACG	1.0	6.85645160164182e-57	4.3141282780974806e-57	4.3141282780974806e-57	4.3141282780974806e-57	4.3141282780974806e-57	4.3141282780974806e-57	4.3141282780974806e-57	4.3141282780974806e-57	4.3141282780974806e-57
K562-pool36-G-TGACCA	1.0	6.280554543544977e-31	1.2467106512294168e-30	1.2467106512294168e-30	1.2467106512294168e-30	1.2467106512294168e-30	1.2467106512294168e-30	1.2467106512294168e-30	1.2467106512294168e-30	1.2467106512294168e-30
K562-pool36-H-CAGATC	1.0	7.344387407450555e-61	5.223966884424342e-61	5.223966884424342e-61	5.223966884424342e-61	5.223966884424342e-61	5.223966884424342e-61	5.223966884424342e-61	5.223966884424342e-61	5.223966884424342e-61
K562-pool36-I-CTTGTA	1.0	8.750530628749044e-30	7.842091929683699e-30	7.842091929683699e-30	7.842091929683699e-30	7.842091929683699e-30	7.842091929683699e-30	7.842091929683699e-30	7.842091929683699e-30	7.842091929683699e-30
K562-pool37-A-TAGCTT	1.0	2.6830562769695422e-114	1.2869717861573188e-114	1.2869717861573188e-114	1.2869717861573188e-114	1.2869717861573188e-114	1.2869717861573188e-114	1.2869717861573188e-114	1.2869717861573188e-114	1.2869717861573188e-114
K562-pool37-B-ACTTGA	1.0	1.9888903735655463e-116	3.449954109988688e-116	3.449954109988688e-116	3.449954109988688e-116	3.449954109988688e-116	3.449954109988688e-116	3.449954109988688e-116	3.449954109988688e-116	3.449954109988688e-116
K562-pool37-C-GCCAAT	1.0	6.1081764292916876e-92	1.1793731273344218e-91	1.1793731273344218e-91	1.1793731273344218e-91	1.1793731273344218e-91	1.1793731273344218e-91	1.1793731273344218e-91	1.1793731273344218e-91	1.1793731273344218e-91
K562-pool37-D-CGATGT	1.0	2.7433933323544192e-80	2.5352942773920226e-80	2.5352942773920226e-80	2.5352942773920226e-80	2.5352942773920226e-80	2.5352942773920226e-80	2.5352942773920226e-80	2.5352942773920226e-80	2.5352942773920226e-80
K562-pool37-F-ATCACG	1.0	1.9844521650690393e-101	9.587993867145727e-102	9.587993867145727e-102	9.587993867145727e-102	9.587993867145727e-102	9.587993867145727e-102	9.587993867145727e-102	9.587993867145727e-102	9.587993867145727e-102
K562-pool37-H-CAGATC	1.0	6.159584823613795e-79	8.174762084474522e-79	8.174762084474522e-79	8.174762084474522e-79	8.174762084474522e-79	8.174762084474522e-79	8.174762084474522e-79	8.174762084474522e-79	8.174762084474522e-79
K562-pool37-I-CTTGTA	1.0	4.388212407878795e-130	1.1292268893422314e-130	1.1292268893422314e-130	1.1292268893422314e-130	1.1292268893422314e-130	1.1292268893422314e-130	1.1292268893422314e-130	1.1292268893422314e-130	1.1292268893422314e-130
K562-pool52-A-TAGCTT	1.0	2.449059678266688e-53	2.130603805838904e-53	2.130603805838904e-53	2.130603805838904e-53	2.130603805838904e-53	2.130603805838904e-53	2.130603805838904e-53	2.130603805838904e-53	2.130603805838904e-53
K562-pool52-B-ACTTGA	1.0	1.1773666585806644e-93	6.776768395512344e-94	6.776768395512344e-94	6.776768395512344e-94	6.776768395512344e-94	6.776768395512344e-94	6.776768395512344e-94	6.776768395512344e-94	6.776768395512344e-94
K562-pool52-C-GCCAAT	0.9999838322635972	7.697991036949016e-06	1.0587181706467897e-06	1.0587181706467897e-06	1.0587181706467897e-06	1.0587181706467897e-06	1.0587181706467897e-06	1.0587181706467897e-06	1.0587181706467897e-06	1.0587181706467897e-06
K562-pool52-D-CGATGT	1.0	2.997261828398709e-48	4.158740887447037e-48	4.158740887447037e-48	4.158740887447037e-48	4.158740887447037e-48	4.158740887447037e-48	4.158740887447037e-48	4.158740887447037e-48	4.158740887447037e-48
K562-pool52-J-GACGAG	1.0	2.2283923642470405e-26	2.769570409828632e-26	2.769570409828632e-26	2.769570409828632e-26	2.769570409828632e-26	2.769570409828632e-26	2.769570409828632e-26	2.769570409828632e-26	2.769570409828632e-26
K562-pool52-K-AAGGTC	1.0	8.957281257116444e-30	6.733122235488515e-30	6.733122235488515e-30	6.733122235488515e-30	6.733122235488515e-30	6.733122235488515e-30	6.733122235488515e-30	6.733122235488515e-30	6.733122235488515e-30
K562-pool52-L-TGTAGC	1.0	1.179450204760724e-38	1.0252293312668877e-38	1.0252293312668877e-38	1.0252293312668877e-38	1.0252293312668877e-38	1.0252293312668877e-38	1.0252293312668877e-38	1.0252293312668877e-38	1.0252293312668877e-38
K562-pool52-M-TTGGCA	1.0	1.7608246207363695e-43	1.322289087344897e-43	1.322289087344897e-43	1.322289087344897e-43	1.322289087344897e-43	1.322289087344897e-43	1.322289087344897e-43	1.322289087344897e-43	1.322289087344897e-43
