x_elbow	y_elbow	gain_vector
1	284080.123307615	0
2	217028.226947619	0.236031636354189
3	207947.166315467	0.0418427628510452
4	198002.301682348	0.0478239968802083
5	192676.342267199	0.0268984722394424
