converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	95611.9253713389	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/121/cluster_posteriors.tsv.gz	27	131	8	NA	NA	NA	NA	NA	NA	NA
1	101870.575269889	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/122/cluster_posteriors.tsv.gz	4	128	3	NA	NA	NA	NA	NA	NA	NA
1	99663.0029662605	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/123/cluster_posteriors.tsv.gz	19	129	7	NA	NA	NA	NA	NA	NA	NA
1	121472.170021777	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/124/cluster_posteriors.tsv.gz	2	129	2	NA	NA	NA	NA	NA	NA	NA
1	99940.0711714651	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/125/cluster_posteriors.tsv.gz	15	130	6	NA	NA	NA	NA	NA	NA	NA
1	205656.194180642	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/126/cluster_posteriors.tsv.gz	1	127	1	NA	NA	NA	NA	NA	NA	NA
1	121480.375803861	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/127/cluster_posteriors.tsv.gz	2	130	2	NA	NA	NA	NA	NA	NA	NA
1	98249.2650822368	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/128/cluster_posteriors.tsv.gz	18	130	4	NA	NA	NA	NA	NA	NA	NA
1	99048.2503009078	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/129/cluster_posteriors.tsv.gz	10	130	4	NA	NA	NA	NA	NA	NA	NA
1	98810.9122366384	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/13/cluster_posteriors.tsv.gz	19	130	4	NA	NA	NA	NA	NA	NA	NA
1	121473.681637637	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/130/cluster_posteriors.tsv.gz	2	128	2	NA	NA	NA	NA	NA	NA	NA
1	102108.034554674	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/131/cluster_posteriors.tsv.gz	14	131	5	NA	NA	NA	NA	NA	NA	NA
1	99753.867440916	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/132/cluster_posteriors.tsv.gz	23	129	8	NA	NA	NA	NA	NA	NA	NA
1	101925.968014324	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/133/cluster_posteriors.tsv.gz	16	131	5	NA	NA	NA	NA	NA	NA	NA
1	101917.281073224	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/134/cluster_posteriors.tsv.gz	6	130	3	NA	NA	NA	NA	NA	NA	NA
1	101058.868824218	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/135/cluster_posteriors.tsv.gz	11	130	5	NA	NA	NA	NA	NA	NA	NA
1	101905.19083793	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/136/cluster_posteriors.tsv.gz	9	128	3	NA	NA	NA	NA	NA	NA	NA
1	100774.292142458	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/137/cluster_posteriors.tsv.gz	27	131	7	NA	NA	NA	NA	NA	NA	NA
1	101995.974591115	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/138/cluster_posteriors.tsv.gz	7	128	4	NA	NA	NA	NA	NA	NA	NA
1	100798.778484926	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/139/cluster_posteriors.tsv.gz	29	131	7	NA	NA	NA	NA	NA	NA	NA
1	98810.8751461281	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/14/cluster_posteriors.tsv.gz	20	131	4	NA	NA	NA	NA	NA	NA	NA
1	100249.448535966	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/140/cluster_posteriors.tsv.gz	17	128	7	NA	NA	NA	NA	NA	NA	NA
1	101957.80275404	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/141/cluster_posteriors.tsv.gz	7	128	3	NA	NA	NA	NA	NA	NA	NA
1	101892.284247321	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/142/cluster_posteriors.tsv.gz	13	130	4	NA	NA	NA	NA	NA	NA	NA
1	97256.1901162911	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/143/cluster_posteriors.tsv.gz	29	131	8	NA	NA	NA	NA	NA	NA	NA
1	121479.483688513	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/144/cluster_posteriors.tsv.gz	2	128	2	NA	NA	NA	NA	NA	NA	NA
1	101865.926931883	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/145/cluster_posteriors.tsv.gz	5	130	3	NA	NA	NA	NA	NA	NA	NA
1	101959.089166455	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/146/cluster_posteriors.tsv.gz	5	130	3	NA	NA	NA	NA	NA	NA	NA
1	121476.905940938	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/147/cluster_posteriors.tsv.gz	2	127	2	NA	NA	NA	NA	NA	NA	NA
1	100843.562943944	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/148/cluster_posteriors.tsv.gz	14	130	5	NA	NA	NA	NA	NA	NA	NA
1	98456.388435039	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/149/cluster_posteriors.tsv.gz	16	130	8	NA	NA	NA	NA	NA	NA	NA
1	96139.5205655516	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/15/cluster_posteriors.tsv.gz	18	131	5	NA	NA	NA	NA	NA	NA	NA
1	98813.9442399678	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/150/cluster_posteriors.tsv.gz	17	129	5	NA	NA	NA	NA	NA	NA	NA
1	100798.778484926	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/151/cluster_posteriors.tsv.gz	30	131	7	NA	NA	NA	NA	NA	NA	NA
1	101058.868824218	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/152/cluster_posteriors.tsv.gz	10	130	5	NA	NA	NA	NA	NA	NA	NA
1	99663.0029662605	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/153/cluster_posteriors.tsv.gz	19	128	7	NA	NA	NA	NA	NA	NA	NA
1	101058.868824218	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/154/cluster_posteriors.tsv.gz	11	130	5	NA	NA	NA	NA	NA	NA	NA
1	119968.03103032	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/155/cluster_posteriors.tsv.gz	7	130	3	NA	NA	NA	NA	NA	NA	NA
1	99048.2503009078	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/156/cluster_posteriors.tsv.gz	11	130	4	NA	NA	NA	NA	NA	NA	NA
1	101887.844299615	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/157/cluster_posteriors.tsv.gz	4	128	3	NA	NA	NA	NA	NA	NA	NA
1	101905.798272722	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/158/cluster_posteriors.tsv.gz	6	130	3	NA	NA	NA	NA	NA	NA	NA
1	101542.733593008	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/159/cluster_posteriors.tsv.gz	16	131	7	NA	NA	NA	NA	NA	NA	NA
1	96014.7638418992	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/16/cluster_posteriors.tsv.gz	17	131	6	NA	NA	NA	NA	NA	NA	NA
1	98340.7940533758	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/160/cluster_posteriors.tsv.gz	8	130	4	NA	NA	NA	NA	NA	NA	NA
1	99427.5572017548	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/161/cluster_posteriors.tsv.gz	15	128	6	NA	NA	NA	NA	NA	NA	NA
1	98988.3789722972	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/162/cluster_posteriors.tsv.gz	19	129	5	NA	NA	NA	NA	NA	NA	NA
1	101898.6020765	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/163/cluster_posteriors.tsv.gz	4	129	3	NA	NA	NA	NA	NA	NA	NA
1	121049.650223209	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/164/cluster_posteriors.tsv.gz	3	128	3	NA	NA	NA	NA	NA	NA	NA
1	205656.194180642	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/165/cluster_posteriors.tsv.gz	1	127	1	NA	NA	NA	NA	NA	NA	NA
1	99048.2503009078	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/166/cluster_posteriors.tsv.gz	10	128	4	NA	NA	NA	NA	NA	NA	NA
1	101888.443042204	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/167/cluster_posteriors.tsv.gz	6	130	3	NA	NA	NA	NA	NA	NA	NA
1	101951.217321391	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/168/cluster_posteriors.tsv.gz	4	128	3	NA	NA	NA	NA	NA	NA	NA
1	101898.6020765	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/169/cluster_posteriors.tsv.gz	4	130	3	NA	NA	NA	NA	NA	NA	NA
1	96014.6258101493	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/17/cluster_posteriors.tsv.gz	18	131	6	NA	NA	NA	NA	NA	NA	NA
1	100047.928428422	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/170/cluster_posteriors.tsv.gz	23	129	7	NA	NA	NA	NA	NA	NA	NA
1	101000.967525144	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/171/cluster_posteriors.tsv.gz	9	129	4	NA	NA	NA	NA	NA	NA	NA
1	121476.239200778	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/172/cluster_posteriors.tsv.gz	2	130	2	NA	NA	NA	NA	NA	NA	NA
1	205656.194180642	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/173/cluster_posteriors.tsv.gz	1	128	1	NA	NA	NA	NA	NA	NA	NA
1	99281.444174553	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/174/cluster_posteriors.tsv.gz	15	130	4	NA	NA	NA	NA	NA	NA	NA
1	101898.6020765	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/175/cluster_posteriors.tsv.gz	4	130	3	NA	NA	NA	NA	NA	NA	NA
1	100924.663717909	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/176/cluster_posteriors.tsv.gz	8	128	4	NA	NA	NA	NA	NA	NA	NA
1	100047.928428422	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/177/cluster_posteriors.tsv.gz	23	131	7	NA	NA	NA	NA	NA	NA	NA
1	99947.7454631029	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/178/cluster_posteriors.tsv.gz	20	130	6	NA	NA	NA	NA	NA	NA	NA
1	101959.089166455	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/179/cluster_posteriors.tsv.gz	4	127	3	NA	NA	NA	NA	NA	NA	NA
1	95082.0223304441	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/18/cluster_posteriors.tsv.gz	15	131	7	NA	NA	NA	NA	NA	NA	NA
1	99048.2503009078	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/180/cluster_posteriors.tsv.gz	10	130	4	NA	NA	NA	NA	NA	NA	NA
1	205656.194180642	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/181/cluster_posteriors.tsv.gz	1	127	1	NA	NA	NA	NA	NA	NA	NA
1	101058.868824218	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/182/cluster_posteriors.tsv.gz	11	130	5	NA	NA	NA	NA	NA	NA	NA
1	101923.104445868	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/183/cluster_posteriors.tsv.gz	20	130	5	NA	NA	NA	NA	NA	NA	NA
